x,y
0.03,4.26
0.44,4.29
1.05,4.22
1.42,3.71
1.98,8.99
2.5,9.45
2.91,10.96
3.51,13.84
3.94,10.54
4.4,12.55
5.06,15.21
5.43,15.28
6.09,17.88
6.42,19.62
7.07,18.51
7.55,20.22
8.01,24.47
8.51,24.03
9.07,23.48
9.52,24.78
10.04,29.13
10.46,29.46
10.92,30.37
11.46,32.34
12.03,32.12
12.44,35.18
12.95,37.37
13.52,35.96
13.93,37.71
14.48,38.31
15.1,39.53
15.54,40.38
16.07,43.35
16.41,42.96
16.96,45.29
17.59,48.0
18.08,47.33
18.48,51.21
19.08,49.56
19.45,51.93
20.01,52.87
20.58,56.43
20.98,56.45
21.5,61.85
21.92,58.49
22.53,59.54
23.06,60.17
23.48,61.96
24.1,59.32
24.57,63.7
